filename,phoneme,start,end,duration,jitter,shimmer,hnr
Aardema_maiden_t.wav,ə,47.95,47.99,40.0,,,
Aardema_maiden_t.wav,ə,48.06,48.14,80.0,,,-2.416
Aardema_maiden_t.wav,ɔ,48.14,48.24,100.0,,,1.049
Aardema_maiden_t.wav,ɪ,48.37,48.42,50.0,,,
Aardema_maiden_t.wav,eː,48.5,48.59,90.0,,,0.467
Aardema_maiden_t.wav,ə,48.65,48.7,50.0,,,
Aardema_maiden_t.wav,ɪ,48.76,48.81,50.0,,,
Aardema_maiden_t.wav,a,48.92,49.0,80.0,,,-0.791
Aardema_maiden_t.wav,ɛ,50.46,50.61,150.0,,,
Aardema_maiden_t.wav,ɑː,50.76,50.84,80.0,,,7.088
Aardema_maiden_t.wav,ə,50.91,50.97,60.0,,,
Aardema_maiden_t.wav,a,51.04,51.1,60.0,,,
Aardema_maiden_t.wav,ə,51.22,51.27,50.0,,,
Aardema_maiden_t.wav,ɔ,51.36,51.47,110.0,,,-0.566
Aardema_maiden_t.wav,ʊ,51.54,51.59,50.0,,,
Aardema_maiden_t.wav,ə,51.64,51.69,50.0,,,
Aardema_maiden_t.wav,a,51.78,51.85,70.0,,,
Aardema_maiden_t.wav,a,51.97,52.02,50.0,,,
Aardema_maiden_t.wav,ə,52.07,52.12,50.0,,,
Aardema_maiden_t.wav,iː,52.24,52.31,70.0,,,
Aardema_maiden_t.wav,iː,52.4,52.5,100.0,,,0.638
Aardema_maiden_t.wav,ɛ,52.5,52.61,110.0,,,1.896
Aardema_maiden_t.wav,ɛ,52.68,52.72,40.0,,,
Aardema_maiden_t.wav,a,52.87,52.94,70.0,,,
Aardema_maiden_t.wav,ə,53.07,53.12,50.0,,,
Aardema_maiden_t.wav,ɛ,53.16,53.26,100.0,,,10.212
Aardema_maiden_t.wav,ɔ,53.44,53.55,110.0,,,-1.695
Aardema_maiden_t.wav,iː,53.66,53.73,70.0,,,
Aardema_maiden_t.wav,ɛ,53.8,53.86,60.0,,,
Aardema_maiden_t.wav,ə,54.01,54.1,90.0,,,2.191
Aardema_maiden_t.wav,y,54.2,54.27,70.0,,,
Aardema_maiden_t.wav,ɪ,54.41,54.48,70.0,,,
Aardema_maiden_t.wav,ɪ,54.59,54.7,110.0,,,2.667
Aardema_maiden_t.wav,oː,54.82,54.9,80.0,,,11.084
Aardema_maiden_t.wav,ɛ,55.03,55.09,60.0,,,
Aardema_maiden_t.wav,ə,55.16,55.21,50.0,,,
Aardema_maiden_t.wav,a,55.25,55.3,50.0,,,
Aardema_maiden_t.wav,ɛ,56.88,57.03,150.0,,,
